experiment,Recall@5,Recall@10,MRR@10,answerable,avg_retrieval_sec,p95_retrieval_sec
hybrid_fixed,0.8333333333333334,0.9666666666666667,0.7061111111111111,60,0.06879505635000668,0.07609882280007696
hybrid_recursive,0.8333333333333334,0.9333333333333333,0.7032142857142857,60,0.0655435048600043,0.07216538534997881
hybrid_semantic,0.8166666666666667,0.9166666666666666,0.6760317460317461,60,0.06694550125999513,0.0741296070999283
bm25_semantic,0.6,0.7166666666666667,0.4170370370370371,60,0.01165082859999643,0.0162402220500212
bm25_fixed,0.5333333333333333,0.7166666666666667,0.3915079365079365,60,0.011141293249985439,0.01595815519996222
bm25_recursive,0.5666666666666667,0.7,0.39035714285714285,60,0.011030531400006111,0.015667829449972713
