chunking,retrieval_variant,queries,faithfulness,relevancy,avg_retrieval_sec,p95_retrieval_sec,avg_inference_sec,avg_overall_sec,p95_overall_sec,throughput_qps
recursive,semantic_only,8,0.9375,0.8510086834430695,0.062078502000076696,0.10202477565001117,6.112289588750002,6.174378179000058,7.36434556380002,0.16195962913336645
fixed,semantic_only,8,0.9375,0.8404736295342445,0.09903153262507658,0.28772597020007407,6.221559847875028,6.320601655750039,7.288594500100089,0.15821278645052253
semantic,semantic_only,8,0.875,0.818374440073967,0.05321134475002509,0.06973419970004215,5.60067996362497,5.653899725000059,6.957746425400045,0.1768690724347768
fixed,hybrid_plus_rerank,8,0.8125,0.8462550540765126,0.8141303918749827,0.8842960665000987,5.384386608499938,6.198527085375019,7.1480949248498975,0.16132864892361742
recursive,hybrid_plus_rerank,8,0.8125,0.8403417070706685,0.7959971616250243,0.883567467750015,4.70382171012497,5.4998289537499545,6.1948235029998955,0.18182383641552505
semantic,hybrid_plus_rerank,8,0.7083333333333333,0.8463612347841263,0.8090589740000098,0.8643599858498987,5.362809864500036,6.171879142125022,7.117563028500103,0.16202520771586154
